,Unnamed: 0,Lat,Lon,GFDL Std Fugacity Detrended,Buoy Std Fugacity Detrended,GFDL Std pH Detrended,Buoy Std pH Detrended,GFDL Std OmegaAr Detrended,Buoy Std OmegaAr Detrended
0,0,33.5,237.5,20.78285881848777,20.29241506383472,0.0201044963951565,0.0334735015674471,0.1310923498324678,0.388924957226105
1,1,50.5,215.5,5.189434966278061,14.430499966744556,0.0055305309701242,0.0147124654993444,0.2097739609734667,0.2312944893462704
2,2,32.5,144.5,39.8525439780498,29.99517076681117,0.0416604709930596,0.0319238529378887,0.2005921838022839,0.2099214758824314
3,3,22.5,202.5,14.458295177715137,12.94951625718145,0.0144234787951935,0.0126723403421283,0.0817741568752273,0.1088174652398467
4,4,0.5,250.5,21.101657547276865,39.20077957000502,0.0171427737082916,0.0283768368002937,0.1904361445418148,0.2946229266662604
5,5,0.5,235.5,13.84251967431648,23.206240714744265,0.0113491738602294,0.0174790758125007,0.191535197496841,0.2156906098148022
6,6,0.5,220.5,10.483487424260268,16.514356403023793,0.008804608626537,0.0130713687977527,0.1752924297796902,0.1735116459281768
7,7,0.5,190.5,9.381231835683398,21.34802759788229,0.0081704633054272,0.0161239637041822,0.138858642711338,0.1989854733379686
8,8,-7.5,165.5,8.992688129219271,8.954757750978885,0.0071396142265701,0.0076088742551983,0.0544976224157083,0.0594216650406073
9,9,-19.5,274.5,19.33122591443173,15.911682116609976,0.0192747584997662,0.0147390470720154,0.2303489788728017,0.1422689159298391
10,10,31.5,295.5,39.440679217784826,33.55101650330152,0.0390540236803544,0.0327677578915717,0.1602945851758892,0.1592500576797729
11,11,68.5,347.5,20.047415543859785,33.85788706756639,0.0237772749459598,0.0465066968865406,0.1591811126244491,0.4050232344407606
12,12,15.5,90.5,21.823748288734357,18.9880504168668,0.0206001519152933,0.0173043028373518,0.0663767755144754,0.1226910251729087
13,13,59.5,210.5,24.973611714043297,64.882020711345,0.0312721255158531,0.0780444107362468,0.2933976326505699,0.3898357290198496
14,14,57.5,207.5,24.43365778400432,109.34631492399944,0.0268645755283539,0.1263090887727551,0.2408707603735332,0.5852218806502986
15,15,56.5,225.5,61.16673835676559,132.20207262147886,0.060532579285246,0.1401453293787776,0.2277924994561277,0.5619993291155917
16,16,56.5,195.5,20.405151135955084,70.78242466994763,0.020962873796598,0.0998963405079584,0.0870596361427791,0.400493995186674
17,17,47.5,235.5,36.653729887096496,69.0321160823629,0.0395481295461784,0.08649911347408,0.1844413848833868,0.5207782960837757
18,18,47.5,234.5,23.43033628074528,78.09947695734978,0.0252895146478704,0.1058487334175989,0.2315052919181574,0.6100296842938167
19,19,34.5,239.5,41.80875954128173,58.9063690363518,0.0392698047512574,0.0568217411614635,0.1226729643762509,0.4353629637701836
20,20,44.5,235.5,52.32841578420741,76.448995646106,0.0479591717847174,0.0851639798940286,0.2237844150260746,0.5015464202892921
21,21,21.5,202.5,14.376234224091286,26.34683415868989,0.0141771188685899,0.0232637936385783,0.0824641450679546,0.1615963852831719
22,22,7.5,151.5,6.847553098319173,19.76621688365723,0.0061126113150844,0.0207026125065304,0.0613382455719647,0.2202143637570162
23,23,21.5,202.5,14.376234224091286,51.32164446724679,0.0141771188685899,0.0377322103478373,0.0824641450679546,0.2140420847132774
24,24,21.5,202.5,14.376234224091286,95.7910881897365,0.0141771188685899,0.073160742092601,0.0824641450679546,0.4303592911397765
25,25,21.5,202.5,14.376234224091286,27.111542276974408,0.0141771188685899,0.0259505018326885,0.0824641450679546,0.2325819171090175
26,26,21.5,202.5,14.376234224091286,19.52073859091545,0.0141771188685899,0.017732682379937,0.0824641450679546,0.1162604947799312
27,27,31.5,279.5,54.3996924790281,64.9870177931447,0.058170433564991,0.065899767560339,0.3302424936382661,0.5124172297271636
28,28,43.5,289.5,48.29292015747212,48.50533151830351,0.0542005400594775,0.0525896772055708,0.244870893325712,0.3947490316734271
29,29,32.5,295.5,36.2878794988532,50.370084190615245,0.0362420770201807,0.0455361091590869,0.1864666495970686,0.1439386022331352
30,30,32.5,295.5,36.2878794988532,50.87231114452583,0.0362420770201807,0.0443304346859899,0.1864666495970686,0.1865382000636495
31,31,30.5,271.5,34.69882119868062,65.0376263706059,0.0455830123693113,0.0980972327208808,0.4349146319966829,0.8433900263033928
32,32,24.5,279.5,30.41533162463338,80.21191248880052,0.0296783749642879,0.0711284614645395,0.087161244459152,0.5747109195131626
33,33,17.5,292.5,16.37177981835381,28.447636327702657,0.0166178725217192,0.026215749023987,0.0505607183434423,0.2475670554517426
